Phase=          3 , Time=                  40 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  41 , Destination=0 , Source=0000000000000010 , Packet Value=0000000000000000000000000000001000000000000000000000000000000011
Phase=          3 , Time=                  42 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000011
Phase=          3 , Time=                  51 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  52 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  53 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  54 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  55 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  56 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  57 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  58 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  59 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  60 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  82 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  83 , Destination=0 , Source=0000000000000010 , Packet Value=0000000000000000000000000000001000000000000000000000000000000011
Phase=          3 , Time=                  84 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000011
Phase=          3 , Time=                  93 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  94 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  95 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
Phase=          3 , Time=                  96 , Destination=0 , Source=0000000000000000 , Packet Value=0100000000000000000000000000000000000000000000000000000000000011
