At time   0 ns, fw_rA_sel = x, fw_rB_sel = x, ALU_in_0 = xxxxxxxxxxxxxxxx, ALU_in_1 = xxxxxxxxxxxxxxxx, data_WB = xxxxxxxxxxxxxxxx, ID_EXM_reg[5:68] = xxxxxxxxxxxxxxxx, ID_EXM_reg[69:132] = xxxxxxxxxxxxxxxx
At time 398 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = dddddddddddddddd, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = dddddddddddddddd
At time 402 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 426 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 1111111111111111, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 430 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 2222222222222222, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 434 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 3333333333333333, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 438 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 4444444444444444, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 442 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 5555555555555555, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 446 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 6666666666666666, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 450 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 7777777777777777, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 454 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 8888888888888888, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 458 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 9999999999999999, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 462 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = aaaaaaaaaaaaaaaa, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 466 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = bbbbbbbbbbbbbbbb, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 470 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = cccccccccccccccc, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 474 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = dddddddddddddddd, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 478 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = eeeeeeeeeeeeeeee, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 482 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = ffffffffffffffff, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 486 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0f0f0f0f0f0f0f0f, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 490 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 1e1e1e1e1e1e1e1e, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 494 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 2d2d2d2d2d2d2d2d, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 498 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 3c3c3c3c3c3c3c3c, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 502 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 4b4b4b4b4b4b4b4b, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 506 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 5a5a5a5a5a5a5a5a, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 510 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 6969696969696969, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 514 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 7878787878787878, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 518 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 8787878787878787, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 522 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 9696969696969696, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 526 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = a5a5a5a5a5a5a5a5, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 530 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = b4b4b4b4b4b4b4b4, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 534 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = c3c3c3c3c3c3c3c3, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 538 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = d2d2d2d2d2d2d2d2, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 542 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = e1e1e1e1e1e1e1e1, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 546 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0f0f0f0f0f0f0f0f, ALU_in_1 = 0000000000000000, data_WB = f0f0f0f0f0f0f0f0, ID_EXM_reg[5:68] = 0f0f0f0f0f0f0f0f, ID_EXM_reg[69:132] = 0000000000000000
At time 550 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 1111111111111111, ALU_in_1 = 3c3c3c3c3c3c3c3c, data_WB = 00e2c2e100e2c2e1, ID_EXM_reg[5:68] = 1111111111111111, ID_EXM_reg[69:132] = 3c3c3c3c3c3c3c3c
At time 554 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = f0f0f0f0f0f0f0f0, ALU_in_1 = 9999999999999999, data_WB = 1010101010101010, ID_EXM_reg[5:68] = f0f0f0f0f0f0f0f0, ID_EXM_reg[69:132] = 9999999999999999
At time 558 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 2d2d2d2d2d2d2d2d, ALU_in_1 = 0000000000000000, data_WB = 9090909090909090, ID_EXM_reg[5:68] = 2d2d2d2d2d2d2d2d, ID_EXM_reg[69:132] = 0000000000000000
At time 562 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = dddddddddddddddd, ALU_in_1 = a5a5a5a5a5a5a5a5, data_WB = 07f8d9e907f8d9e9, ID_EXM_reg[5:68] = dddddddddddddddd, ID_EXM_reg[69:132] = a5a5a5a5a5a5a5a5
At time 566 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 2222222222222222, ALU_in_1 = 0000000000000000, data_WB = 7878787878787878, ID_EXM_reg[5:68] = 2222222222222222, ID_EXM_reg[69:132] = 0000000000000000
At time 570 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 1010101010101010, ALU_in_1 = 0000000000000000, data_WB = 048d0c84048d0c84, ID_EXM_reg[5:68] = 1010101010101010, ID_EXM_reg[69:132] = 0000000000000000
At time 574 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 5a5a5a5a5a5a5a5a, ALU_in_1 = 1e1e1e1e1e1e1e1e, data_WB = efefefefefefefef, ID_EXM_reg[5:68] = 5a5a5a5a5a5a5a5a, ID_EXM_reg[69:132] = 1e1e1e1e1e1e1e1e
At time 578 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 2222222222222222, ALU_in_1 = 0000000000000000, data_WB = 5e5e5e5e5e5e5e5e, ID_EXM_reg[5:68] = 2222222222222222, ID_EXM_reg[69:132] = 0000000000000000
At time 582 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 1010101010101010, ALU_in_1 = 0000000000000000, data_WB = 0484048404840484, ID_EXM_reg[5:68] = 1010101010101010, ID_EXM_reg[69:132] = 0000000000000000
At time 586 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = aaaaaaaaaaaaaaaa, ALU_in_1 = dddddddddddddddd, data_WB = 0100010001000100, ID_EXM_reg[5:68] = aaaaaaaaaaaaaaaa, ID_EXM_reg[69:132] = dddddddddddddddd
At time 590 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 5555555555555555, ALU_in_1 = 4444444444444444, data_WB = ffffffffffffffff, ID_EXM_reg[5:68] = 5555555555555555, ID_EXM_reg[69:132] = 4444444444444444
At time 594 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 9696969696969696, ALU_in_1 = 0000000000000000, data_WB = 1694169416941694, ID_EXM_reg[5:68] = 9696969696969696, ID_EXM_reg[69:132] = 0000000000000000
At time 598 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = aaaaaaaaaaaaaaaa, ALU_in_1 = 6969696969696969, data_WB = 6969696969696969, ID_EXM_reg[5:68] = aaaaaaaaaaaaaaaa, ID_EXM_reg[69:132] = 6969696969696969
At time 602 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = aaaaaaaaaaaaaaaa, ALU_in_1 = 1010101010101010, data_WB = 4141414141414141, ID_EXM_reg[5:68] = aaaaaaaaaaaaaaaa, ID_EXM_reg[69:132] = 1010101010101010
At time 606 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0a0a0a0a0a0a0a0a, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 610 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = ffffffffffffffff, ALU_in_1 = 048d0c84048d0c84, data_WB = 0000000000000000, ID_EXM_reg[5:68] = ffffffffffffffff, ID_EXM_reg[69:132] = 048d0c84048d0c84
At time 614 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = efefefefefefefef, ALU_in_1 = 0000000000000000, data_WB = 0000000000000038, ID_EXM_reg[5:68] = efefefefefefefef, ID_EXM_reg[69:132] = 0000000000000000
At time 618 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 2d2d2d2d2d2d2d2d, ALU_in_1 = 4141414141414141, data_WB = 1010101010101010, ID_EXM_reg[5:68] = 2d2d2d2d2d2d2d2d, ID_EXM_reg[69:132] = 4141414141414141
At time 622 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0b83e56d0b83e56d, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 626 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0a0a0a0a0a0a0a0a, ALU_in_1 = a5a5a5a5a5a5a5a5, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0a0a0a0a0a0a0a0a, ID_EXM_reg[69:132] = a5a5a5a5a5a5a5a5
At time 630 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 5e5e5e5e5e5e5e5e, ALU_in_1 = c3c3c3c3c3c3c3c3, data_WB = afafafafafafafaf, ID_EXM_reg[5:68] = 5e5e5e5e5e5e5e5e, ID_EXM_reg[69:132] = c3c3c3c3c3c3c3c3
At time 634 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = afafafafafafafaf, ALU_in_1 = 0000000000000038, data_WB = 9a9a9a9b9a9a9a9b, ID_EXM_reg[5:68] = afafafafafafafaf, ID_EXM_reg[69:132] = 0000000000000038
At time 638 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0f0f0f0f0f0f0f0f, ALU_in_1 = 0000000000000000, data_WB = afafafafafafafbf, ID_EXM_reg[5:68] = 0f0f0f0f0f0f0f0f, ID_EXM_reg[69:132] = 0000000000000000
At time 642 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = dddddddddddddddd, ALU_in_1 = afafafafafafafaf, data_WB = 0f0f0f0f0f0f0f0f, ID_EXM_reg[5:68] = dddddddddddddddd, ID_EXM_reg[69:132] = afafafafafafafaf
At time 646 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 1694169416941694, ALU_in_1 = 1694169416941694, data_WB = 2e2e2e2e2e2e2e2e, ID_EXM_reg[5:68] = 1694169416941694, ID_EXM_reg[69:132] = 1694169416941694
At time 650 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = aaaaaaaaaaaaaaaa, ALU_in_1 = 5e5e5e5e5e5e5e5e, data_WB = 0009000900090009, ID_EXM_reg[5:68] = aaaaaaaaaaaaaaaa, ID_EXM_reg[69:132] = 5e5e5e5e5e5e5e5e
At time 654 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0484048404840484, ALU_in_1 = 9090909090909090, data_WB = 3e6c3e6c3e6c3e6c, ID_EXM_reg[5:68] = 0484048404840484, ID_EXM_reg[69:132] = 9090909090909090
At time 658 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 9494949494949494, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 662 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 666 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 00e2c2e100e2c2e1, ALU_in_1 = afafafafafafafaf, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 00e2c2e100e2c2e1, ID_EXM_reg[69:132] = afafafafafafafaf
At time 670 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 9a9a9a9b9a9a9a9b, ALU_in_1 = 0000000000000000, data_WB = 85bd06cf85bd06cf, ID_EXM_reg[5:68] = 9a9a9a9b9a9a9a9b, ID_EXM_reg[69:132] = 0000000000000000
At time 674 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0c0c0c0c0c0c0c0c, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 678 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 1111111111111111, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 1111111111111111
At time 682 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 6969696969696969, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 6969696969696969
At time 686 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = ffffffffffffffff, data_WB = 6969696969696969, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = ffffffffffffffff
At time 690 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0b83e56d0b83e56d, data_WB = ffffffffffffffff, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0b83e56d0b83e56d
At time 694 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 1694169416941694, data_WB = ffffffffffffffff, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 1694169416941694
At time 698 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 7878787878787878, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 7878787878787878
At time 702 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 048d0c84048d0c84, data_WB = 7878787878787878, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 048d0c84048d0c84
At time 706 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 1010101010101010, data_WB = fb73f37cfb73f37c, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 1010101010101010
At time 710 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 9090909090909090, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 9090909090909090
At time 714 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0c0c0c0c0c0c0c0c, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0c0c0c0c0c0c0c0c
At time 718 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 1010101010101010, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 1010101010101010
At time 722 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = efefefefefefefef, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = efefefefefefefef
At time 726 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 730 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0009000900090009, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0009000900090009
At time 734 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = ffffffffffffffff, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = ffffffffffffffff
At time 738 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 3e6c3e6c3e6c3e6c, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 3e6c3e6c3e6c3e6c
At time 742 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 2e2e2e2e2e2e2e2e, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 2e2e2e2e2e2e2e2e
At time 746 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 9a9a9a9b9a9a9a9b, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 9a9a9a9b9a9a9a9b
At time 750 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0f0f0f0f0f0f0f0f, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0f0f0f0f0f0f0f0f
At time 754 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0484048404840484, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0484048404840484
At time 758 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = afafafafafafafaf, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = afafafafafafafaf
At time 762 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 4141414141414141, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 4141414141414141
At time 766 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 9494949494949494, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 9494949494949494
At time 770 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0a0a0a0a0a0a0a0a, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0a0a0a0a0a0a0a0a
At time 774 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000038, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000038
At time 778 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = afafafafafafafbf, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = afafafafafafafbf
At time 782 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 07f8d9e907f8d9e9, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 07f8d9e907f8d9e9
At time 786 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = c3c3c3c3c3c3c3c3, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = c3c3c3c3c3c3c3c3
At time 790 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 00e2c2e100e2c2e1, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 00e2c2e100e2c2e1
At time 794 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5e5e5e5e5e5e5e5e, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5e5e5e5e5e5e5e5e
At time 798 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0100010001000100, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0100010001000100
At time 802 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 822 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = xxxxxxxxxxxxxxxx, ALU_in_1 = xxxxxxxxxxxxxxxx, data_WB = 0000000000000000, ID_EXM_reg[5:68] = xxxxxxxxxxxxxxxx, ID_EXM_reg[69:132] = xxxxxxxxxxxxxxxx
