Phase=          2 , Time=                 168 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 169 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 170 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 171 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 172 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 173 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 174 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 175 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 176 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 177 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 198 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                 199 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 200 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                 208 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 209 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 210 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 211 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 212 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 213 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 214 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 215 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 216 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 217 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 218 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 219 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 240 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                 241 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 242 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                 250 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 251 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 252 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 253 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 254 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 255 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 256 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 257 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 258 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 259 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 260 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 261 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 282 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                 283 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 284 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                 292 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 293 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 294 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 295 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 296 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 297 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 298 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 299 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 300 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 301 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 302 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 303 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 324 , Destination=0 , Source=0000000000000001 , Packet Value=0000000000000000000000000000000100000000000000000000000000000010
Phase=          2 , Time=                 325 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 326 , Destination=0 , Source=0000000000000000 , Packet Value=0000000000000000000000000000000000000000000000000000000000000010
Phase=          2 , Time=                 334 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 335 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 336 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 337 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 338 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 339 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 340 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 341 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 342 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 343 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 344 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 345 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 346 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 347 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 348 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 349 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 350 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 351 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 352 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 353 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 354 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 355 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
